year,originPackage,originClass,originLocation,destPackage,destClass,destLocation,duplicateSize
2007,base.trunk.test.org.hsqldb.jdbc,jdbcDataSourceTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcDataSourceTest.java|(2059,234,<49,0>,<60,32>)",base.trunk.test.org.hsqldb.jdbc,jdbcNClobTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcNClobTest.java|(2042,234,<49,0>,<60,32>)",8
2007,base.trunk.src.org.hsqldb.types,BooleanType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/BooleanType.java|(2275,149,<65,0>,<73,5>)",base.trunk.src.org.hsqldb.types,ClobType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/ClobType.java|(2376,149,<63,0>,<71,5>)",6
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb,NumberSequence,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/NumberSequence.java|(3967,300,<130,0>,<146,5>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb,TriggerDef,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/TriggerDef.java|(7079,300,<174,0>,<190,5>)",12
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BlobType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BlobType.java|(1599,162,<31,0>,<37,24>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,ClobType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/ClobType.java|(1599,162,<31,0>,<37,24>)",5
2007,base.trunk.test.org.hsqldb.jdbc,UtilTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/UtilTest.java|(11631,246,<275,0>,<286,32>)",base.trunk.test.org.hsqldb.jdbc,jdbcBlobTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcBlobTest.java|(2050,234,<49,0>,<60,32>)",8
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BitType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BitType.java|(7987,200,<272,0>,<282,9>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BinaryType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BinaryType.java|(11091,200,<368,0>,<378,9>)",7
2007,base.trunk.src.org.hsqldb,CommandParser,"|java+compilationUnit:///base/trunk/src/org/hsqldb/CommandParser.java|(20616,109,<677,0>,<682,5>)",base.trunk.src.org.hsqldb,DDLParser,"|java+compilationUnit:///base/trunk/src/org/hsqldb/DDLParser.java|(58214,109,<1948,0>,<1953,5>)",5
2007,base.trunk.test.org.hsqldb.jdbc,jdbcConnectionTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcConnectionTest.java|(2320,234,<58,0>,<69,32>)",base.trunk.test.org.hsqldb.jdbc,UtilTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/UtilTest.java|(11631,246,<275,0>,<286,32>)",8
2007,base.trunk.src.org.hsqldb.types,DateTimeType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/DateTimeType.java|(12340,198,<420,0>,<429,9>)",base.trunk.src.org.hsqldb.types,CharacterType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/CharacterType.java|(15317,198,<479,0>,<488,9>)",7
2008,hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,jdbcNClobTest,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/test/org/hsqldb/jdbc/jdbcNClobTest.java|(1993,189,<49,0>,<58,5>)",hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,jdbcSavepointTest,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/test/org/hsqldb/jdbc/jdbcSavepointTest.java|(1962,189,<47,0>,<56,5>)",7
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.util,TransferDb,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/util/TransferDb.java|(1599,242,<31,0>,<39,26>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.util,ZaurusTableForm,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/util/ZaurusTableForm.java|(1599,242,<31,0>,<39,26>)",7
2007,base.trunk.src.org.hsqldb.test,TestLikePredicateOptimizations,"|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestLikePredicateOptimizations.java|(6744,158,<222,0>,<228,1>)",base.trunk.src.org.hsqldb.test,TestINPredicateParameterizationAndCorrelation,"|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestINPredicateParameterizationAndCorrelation.java|(5552,158,<174,0>,<180,1>)",5
2007,base.trunk.src.org.hsqldb.jdbc,jdbcConnection,"|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcConnection.java|(129516,1357,<3167,0>,<3193,88>)",base.trunk.src.org.hsqldb.jdbc,jdbcStatement,"|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcStatement.java|(71599,1356,<1747,0>,<1772,88>)",5
2007,base.trunk.src.org.hsqldb.test,TestLikePredicateOptimizations,"|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestLikePredicateOptimizations.java|(6744,158,<222,0>,<228,1>)",base.trunk.src.org.hsqldb.test,TestDatabaseMetaData,"|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestDatabaseMetaData.java|(8944,158,<231,0>,<237,1>)",5
2007,base.trunk.src.org.hsqldb.lib,IntKeyHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/IntKeyHashMap.java|(4530,451,<169,0>,<188,29>)",base.trunk.src.org.hsqldb.lib,LongKeyIntValueHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyIntValueHashMap.java|(4194,451,<156,0>,<175,29>)",14
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,MultiValueHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/MultiValueHashMap.java|(4804,451,<174,0>,<193,29>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,LongKeyIntValueHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/LongKeyIntValueHashMap.java|(4194,451,<156,0>,<175,29>)",14
2007,base.trunk.src.org.hsqldb.types,BooleanType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/BooleanType.java|(2975,217,<101,0>,<113,9>)",base.trunk.src.org.hsqldb.types,DateTimeType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/DateTimeType.java|(6461,217,<230,0>,<242,9>)",9
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,CharacterType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/CharacterType.java|(15212,223,<478,0>,<489,23>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,IntervalType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/IntervalType.java|(19151,223,<580,0>,<591,23>)",8
2008,hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,jdbcDriverTest,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/test/org/hsqldb/jdbc/jdbcDriverTest.java|(1911,189,<45,0>,<54,5>)",hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,jdbcNClobTest,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/test/org/hsqldb/jdbc/jdbcNClobTest.java|(1993,189,<49,0>,<58,5>)",7
2007,base.trunk.src.org.hsqldb.lib,HashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/HashMap.java|(3102,139,<98,0>,<107,5>)",base.trunk.src.org.hsqldb.lib,LongKeyHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyHashMap.java|(3094,139,<99,0>,<108,5>)",6
2007,base.trunk.src.org.hsqldb.util,DatabaseManagerSwing,"|java+compilationUnit:///base/trunk/src/org/hsqldb/util/DatabaseManagerSwing.java|(26123,746,<676,0>,<687,5>)",base.trunk.src.org.hsqldb.util,DatabaseManager,"|java+compilationUnit:///base/trunk/src/org/hsqldb/util/DatabaseManager.java|(10845,746,<328,0>,<339,5>)",11
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,LongKeyHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/LongKeyHashMap.java|(3747,451,<134,0>,<153,29>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,LongKeyIntValueHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/LongKeyIntValueHashMap.java|(5015,451,<191,0>,<210,29>)",14
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.test,TestScripts,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/test/TestScripts.java|(7318,174,<212,0>,<218,5>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.test,TestSelf,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/test/TestSelf.java|(8844,174,<250,0>,<256,5>)",6
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.test,TestSelf,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/test/TestSelf.java|(8844,174,<250,0>,<256,5>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.test,TestScripts,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/test/TestScripts.java|(7318,174,<212,0>,<218,5>)",6
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.jdbc,jdbcStatement,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/jdbc/jdbcStatement.java|(71836,1437,<1753,0>,<1780,5>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.jdbc,jdbcResultSetMetaData,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/jdbc/jdbcResultSetMetaData.java|(37379,1437,<912,0>,<939,5>)",7
2007,base.trunk.src.org.hsqldb.lib,HashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/HashMap.java|(4763,451,<180,0>,<199,29>)",base.trunk.src.org.hsqldb.lib,LongKeyLongValueHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyLongValueHashMap.java|(5034,451,<191,0>,<210,29>)",14
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BinaryType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BinaryType.java|(4919,566,<139,0>,<162,32>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BitType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BitType.java|(3754,566,<118,0>,<141,32>)",14
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.index,Index,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/index/Index.java|(7731,250,<185,0>,<197,43>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb,TriggerDef,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/TriggerDef.java|(7086,250,<176,0>,<188,43>)",9
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.util,Transfer,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/util/Transfer.java|(3855,246,<87,0>,<94,35>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.util,ZaurusConnectionDialog,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/util/ZaurusConnectionDialog.java|(1857,246,<43,0>,<50,35>)",7
2007,base.trunk.src.org.hsqldb.util,DatabaseManager,"|java+compilationUnit:///base/trunk/src/org/hsqldb/util/DatabaseManager.java|(27360,362,<923,0>,<935,30>)",base.trunk.src.org.hsqldb.util,DatabaseManagerSwing,"|java+compilationUnit:///base/trunk/src/org/hsqldb/util/DatabaseManagerSwing.java|(58307,362,<1650,0>,<1662,30>)",8
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,IntKeyHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/IntKeyHashMap.java|(4530,290,<169,0>,<180,41>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,MultiValueHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/MultiValueHashMap.java|(4804,290,<174,0>,<185,41>)",8
2007,base.trunk.src.org.hsqldb.types,NullType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/NullType.java|(2115,149,<57,0>,<65,5>)",base.trunk.src.org.hsqldb.types,BinaryType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/BinaryType.java|(2531,149,<68,0>,<76,5>)",6
2007,base.trunk.src.org.hsqldb.types,NumberType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/NumberType.java|(5293,149,<156,0>,<164,5>)",base.trunk.src.org.hsqldb.types,BooleanType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/BooleanType.java|(2275,149,<65,0>,<73,5>)",6
2007,base.trunk.src.org.hsqldb.util,DatabaseManagerSwing,"|java+compilationUnit:///base/trunk/src/org/hsqldb/util/DatabaseManagerSwing.java|(48074,388,<1285,0>,<1292,55>)",base.trunk.src.org.hsqldb.util,DatabaseManager,"|java+compilationUnit:///base/trunk/src/org/hsqldb/util/DatabaseManager.java|(23458,388,<751,0>,<758,55>)",7
2007,base.trunk.src.org.hsqldb.types,BinaryType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/BinaryType.java|(5667,217,<175,0>,<187,9>)",base.trunk.src.org.hsqldb.types,IntervalType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/IntervalType.java|(12001,217,<383,0>,<395,9>)",9
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.test,TestJDBCSavepoints,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/test/TestJDBCSavepoints.java|(16791,158,<503,0>,<509,1>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.test,TestBug1191815,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/test/TestBug1191815.java|(3930,158,<120,0>,<126,1>)",5
2007,base.trunk.src.org.hsqldb.lib,LongKeyIntValueHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyIntValueHashMap.java|(4143,341,<153,0>,<167,41>)",base.trunk.src.org.hsqldb.lib,LongKeyHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyHashMap.java|(3696,341,<131,0>,<145,41>)",10
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb,SQLFunction,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/SQLFunction.java|(20069,198,<504,0>,<510,5>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb,LegacyFunction,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/LegacyFunction.java|(6153,198,<168,0>,<174,5>)",5
2007,base.trunk.src.org.hsqldb.types,ClobDataRemoteClient,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/ClobDataRemoteClient.java|(1626,201,<33,0>,<40,35>)",base.trunk.src.org.hsqldb.types,ClobDataMemory,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/ClobDataMemory.java|(1652,201,<34,0>,<41,35>)",6
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationFull,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/dbinfo/DatabaseInformationFull.java|(12988,117,<362,0>,<369,5>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationMain,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/dbinfo/DatabaseInformationMain.java|(67511,117,<1681,0>,<1688,5>)",5
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.rowio,RowInputTextLog,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/rowio/RowInputTextLog.java|(2289,229,<54,0>,<59,29>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.rowio,RowInputText,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/rowio/RowInputText.java|(2141,229,<50,0>,<55,29>)",5
2007,base.trunk.src.org.hsqldb.lib,IntKeyIntValueHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/IntKeyIntValueHashMap.java|(4819,506,<181,0>,<203,29>)",base.trunk.src.org.hsqldb.lib,MultiValueHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/MultiValueHashMap.java|(4604,506,<167,0>,<189,29>)",16
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,LongKeyIntValueHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/LongKeyIntValueHashMap.java|(4236,248,<157,0>,<167,41>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,IntKeyHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/IntKeyHashMap.java|(4572,248,<170,0>,<180,41>)",7
2007,base.trunk.test.org.hsqldb.jdbc,jdbcResultSetTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcResultSetTest.java|(4552,295,<123,0>,<133,29>)",base.trunk.test.org.hsqldb.jdbc,jdbcResultSetMetaDataTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcResultSetMetaDataTest.java|(9970,424,<269,0>,<279,36>)",10
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,IntKeyIntValueHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/IntKeyIntValueHashMap.java|(4056,451,<149,0>,<168,29>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,LongKeyIntValueHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/LongKeyIntValueHashMap.java|(5015,451,<191,0>,<210,29>)",14
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,IntervalType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/IntervalType.java|(12013,224,<379,0>,<393,9>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,CharacterType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/CharacterType.java|(8488,224,<260,0>,<274,9>)",10
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BinaryType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BinaryType.java|(6287,116,<194,0>,<200,9>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BooleanType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BooleanType.java|(3082,116,<107,0>,<113,9>)",5
2007,base.trunk.src.org.hsqldb.types,NumberType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/NumberType.java|(29333,170,<907,0>,<916,5>)",base.trunk.src.org.hsqldb.types,IntervalType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/IntervalType.java|(20307,171,<617,0>,<627,5>)",7
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BitType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BitType.java|(7539,198,<253,0>,<260,9>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,IntervalType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/IntervalType.java|(14032,198,<447,0>,<454,9>)",5
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb,DDLParser,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/DDLParser.java|(8389,109,<325,0>,<330,5>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb,CommandParser,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/CommandParser.java|(23271,109,<734,0>,<739,5>)",5
2007,base.trunk.src.org.hsqldb.test,TestTimestamp,"|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestTimestamp.java|(1625,178,<33,0>,<38,26>)",base.trunk.src.org.hsqldb.test,JDBCBench,"|java+compilationUnit:///base/trunk/src/org/hsqldb/test/JDBCBench.java|(507,178,<14,0>,<19,26>)",5
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,ClobType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/ClobType.java|(3514,224,<110,0>,<124,9>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BlobType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BlobType.java|(3575,224,<114,0>,<128,9>)",10
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,LongKeyLongValueHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/LongKeyLongValueHashMap.java|(5076,248,<192,0>,<202,41>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,IntKeyHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/IntKeyHashMap.java|(3778,248,<135,0>,<145,41>)",7
2007,base.trunk.src.org.hsqldb.lib,LongKeyLongValueHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyLongValueHashMap.java|(5034,290,<191,0>,<202,41>)",base.trunk.src.org.hsqldb.lib,LongKeyHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyHashMap.java|(4544,290,<169,0>,<180,41>)",8
2007,base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationFull,"|java+compilationUnit:///base/trunk/src/org/hsqldb/dbinfo/DatabaseInformationFull.java|(93088,101,<2347,0>,<2354,5>)",base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationMain,"|java+compilationUnit:///base/trunk/src/org/hsqldb/dbinfo/DatabaseInformationMain.java|(85803,101,<2088,0>,<2095,5>)",5
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.test,TestCascade,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/test/TestCascade.java|(1718,177,<39,0>,<45,32>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.test,TestSubselect,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/test/TestSubselect.java|(1653,177,<34,0>,<40,32>)",5
2007,base.trunk.src.org.hsqldb.lib,IntKeyHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/IntKeyHashMap.java|(2852,239,<86,0>,<99,5>)",base.trunk.src.org.hsqldb.lib,LongKeyHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyHashMap.java|(2861,239,<86,0>,<99,5>)",9
2007,base.trunk.src.org.hsqldb.lib,HashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/HashMap.java|(4805,248,<181,0>,<191,41>)",base.trunk.src.org.hsqldb.lib,LongKeyLongValueHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyLongValueHashMap.java|(5076,248,<192,0>,<202,41>)",7
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.test,TestCollation,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/test/TestCollation.java|(2107,178,<51,0>,<59,54>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.test,TestLobs,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/test/TestLobs.java|(2037,178,<52,0>,<60,54>)",5
2007,base.trunk.src.org.hsqldb.lib,LongKeyIntValueHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyIntValueHashMap.java|(4236,248,<157,0>,<167,41>)",base.trunk.src.org.hsqldb.lib,MultiValueHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/MultiValueHashMap.java|(4701,248,<171,0>,<181,41>)",7
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,IntKeyHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/IntKeyHashMap.java|(4530,451,<169,0>,<188,29>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,IntKeyIntValueHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/IntKeyIntValueHashMap.java|(4056,451,<149,0>,<168,29>)",14
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BooleanType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BooleanType.java|(3437,259,<121,0>,<130,24>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BlobType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BlobType.java|(4009,259,<136,0>,<145,24>)",6
2008,hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,JdbcSuite,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/test/org/hsqldb/jdbc/JdbcSuite.java|(1914,238,<46,0>,<58,5>)",hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,jdbcCallableStatementTest,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/test/org/hsqldb/jdbc/jdbcCallableStatementTest.java|(2213,189,<56,0>,<65,5>)",7
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,LongKeyHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/LongKeyHashMap.java|(4544,451,<169,0>,<188,29>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,IntKeyHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/IntKeyHashMap.java|(3736,451,<134,0>,<153,29>)",14
2007,base.trunk.src.org.hsqldb.jdbc.pool,JDBCXADataSource,"|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/pool/JDBCXADataSource.java|(4523,678,<127,0>,<141,78>)",base.trunk.src.org.hsqldb.jdbc.pool,JDBCConnectionPoolDataSource,"|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/pool/JDBCConnectionPoolDataSource.java|(4722,678,<137,0>,<151,78>)",13
2007,base.trunk.test.org.hsqldb.jdbc,UtilTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/UtilTest.java|(11631,206,<275,0>,<284,5>)",base.trunk.test.org.hsqldb.jdbc,jdbcDataSourceTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcDataSourceTest.java|(2059,198,<49,0>,<58,5>)",7
2007,base.trunk.src.org.hsqldb.types,DateTimeType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/DateTimeType.java|(12340,223,<420,0>,<431,23>)",base.trunk.src.org.hsqldb.types,CharacterType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/CharacterType.java|(15317,223,<479,0>,<490,23>)",8
